Barangay,House Type,Lot Area (sqm),Floor Area (sqm),Number of Floors,Bedroom,Bathroom,Garage,Year Built,Price (PHP),Price Growth Rate,Market Price,Market Price Growth Rate
San Isidro (Poblacion),Townhouse,205,271,1,3,1,1,2018,4317476.22,2.36,12952428.66,200.00%
Dela Paz (Poblacion),Duplex,311,248,3,4,1,0,2022,7500714.28,3.85,22502142.84,200.00%
San Roque (Poblacion),Townhouse,266,86,3,5,3,1,2015,3787308.71,3.84,11361926.13,200.00%
San Roque (Poblacion),Single-Family Home,169,221,3,4,4,2,2013,4425428.16,4.93,13276284.48,200.00%
Muntindilaw,Duplex,357,85,1,5,1,2,2019,4436119.9,2.52,13308359.7,200.00%
Beverly Hills,Townhouse,345,144,1,5,1,1,2021,7868223.45,4.52,23604670.35,200.00%
San Isidro (Poblacion),Townhouse,151,140,1,6,2,2,2019,6128063.44,2.8,18384190.32,200.00%
Cupang,Townhouse,278,168,2,5,1,2,2019,7370585.64,4.69,22111756.92,200.00%
San Luis,Single-Family Home,182,187,1,4,2,3,2013,7333157.69,4.16,21999473.07,200.00%
Mayamot,Bungalow,198,263,1,2,4,1,2015,9884936.21,5.26,29654808.63,200.00%
San Roque (Poblacion),Bungalow,212,109,1,4,1,1,2013,7526814.25,5.47,22580442.75,200.00%
Beverly Hills,Duplex,285,97,1,2,3,2,2022,8153354.02,4.73,24460062.06,200.00%
San Luis,Bungalow,387,88,1,5,2,1,2022,7092164.74,2.27,21276494.22,200.00%
San Roque (Poblacion),Single-Family Home,239,161,3,4,1,2,2019,5977695.87,2.62,17933087.61,200.00%
Cupang,Duplex,369,142,3,2,2,2,2020,9760721,3.67,29282163,200.00%
Dela Paz (Poblacion),Townhouse,283,273,1,2,2,0,2013,7234315.59,3.42,21702946.77,200.00%
San Juan,Duplex,359,193,1,3,4,0,2022,8383662.18,2.99,25150986.54,200.00%
Muntindilaw,Single-Family Home,301,151,3,3,4,3,2015,4847357.55,2.84,14542072.65,200.00%
Bagong Nayon,Bungalow,238,88,1,5,2,2,2018,9853804.85,2.96,29561414.55,200.00%
San Roque (Poblacion),Single-Family Home,157,251,1,2,1,1,2019,4571563.89,4.42,13714691.67,200.00%
Dalig,Bungalow,346,221,1,6,2,0,2016,9341381.49,3.51,28024144.47,200.00%
Cupang,Duplex,225,96,2,2,1,2,2021,8517169.58,2.83,25551508.74,200.00%
Santa Cruz,Bungalow,169,241,1,4,4,3,2014,2563043.94,2.03,7689131.82,200.00%
Inarawan,Single-Family Home,243,119,3,2,2,1,2016,7190353.87,4.74,21571061.61,200.00%
Dela Paz (Poblacion),Duplex,224,219,2,2,2,3,2017,9331171.46,5.46,27993514.38,200.00%
San Isidro (Poblacion),Duplex,263,119,1,5,2,1,2014,5829475.78,2.89,17488427.34,200.00%
Calawis,Townhouse,175,198,3,4,2,3,2020,3307590.08,4.32,9922770.24,200.00%
Santa Cruz,Single-Family Home,248,150,1,4,4,3,2022,4100390.35,4.26,12301171.05,200.00%
San Isidro (Poblacion),Duplex,221,162,2,4,4,0,2020,5838105.74,2.81,17514317.22,200.00%
Calawis,Townhouse,151,176,3,3,1,0,2018,6587900.5,3.14,19763701.5,200.00%
Santa Cruz,Bungalow,277,155,1,5,1,2,2018,2656379.08,3.13,7969137.24,200.00%
Santa Cruz,Bungalow,261,227,1,3,2,0,2020,6016551.7,4.49,18049655.1,200.00%
